,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
588401,for_sale,119000.0,4.0,1.0,1.0,"746 County Route 31, Glen Spey, NY, 12737",746 County Route 31,Glen Spey,New York,800.0,12737
588402,for_sale,390000.0,4.0,3.0,2.1,"14 Andrew Ln, White Lake, NY, 12786",14 Andrew Ln,White Lake,New York,3016.0,12786
588405,for_sale,598500.0,5.0,5.0,0.35,"1774 State Route 97 Rte, Pond Eddy, NY, 12764",1774 State Route 97 Rte,Pond Eddy,New York,5204.0,12764
588407,for_sale,409900.0,4.0,3.0,1.36,"261 Sgt Andrew Brucher Rd, Smallwood, NY, 12778",261 Sgt Andrew Brucher Rd,Smallwood,New York,2880.0,12778
588411,for_sale,239500.0,4.0,2.0,0.54,"7605 Cherry Valley Rd, Stroudsburg, PA, 18360",7605 Cherry Valley Rd,Stroudsburg,Pennsylvania,2250.0,18360
588415,for_sale,349000.0,4.0,3.0,1.28,"113 Homeyer Rd, Sparrow Bush, NY, 12780",113 Homeyer Rd,Sparrow Bush,New York,2154.0,12780
588425,for_sale,259000.0,3.0,2.0,0.28,"175 Bollinger Dr, Mount Bethel, PA, 18343",175 Bollinger Dr,Mount Bethel,Pennsylvania,2350.0,18343
588437,for_sale,99000.0,2.0,1.0,0.95,"811 State Route 42, Sparrow Bush, NY, 12780",811 State Route 42,Sparrow Bush,New York,1344.0,12780
588438,for_sale,45000.0,2.0,1.0,0.11,"132 Aztec Dr, Shohola, PA, 18458",132 Aztec Dr,Shohola,Pennsylvania,700.0,18458
588440,for_sale,75000.0,2.0,1.0,0.11,"112 Beaver Ln, Shohola, PA, 18458",112 Beaver Ln,Shohola,Pennsylvania,700.0,18458
588441,for_sale,43900.0,2.0,1.0,0.11,"237 S Shohola Pkwy, Shohola, PA, 18458",237 S Shohola Pkwy,Shohola,Pennsylvania,700.0,18458
588448,for_sale,129995.0,2.0,1.0,0.87,"99 Beaver Brook Rd, Narrowsburg, NY, 12764",99 Beaver Brook Rd,Narrowsburg,New York,537.0,12764
588449,for_sale,79000.0,2.0,1.0,0.11,"109 W James Ave, Smallwood, NY, 12778",109 W James Ave,Smallwood,New York,472.0,12778
588450,for_sale,159900.0,3.0,1.0,0.5,"35 E Oak St, Smallwood, NY, 12778",35 E Oak St,Smallwood,New York,1176.0,12778
588451,for_sale,125500.0,3.0,1.0,0.05,"151 Ball St, Port Jervis, NY, 12771",151 Ball St,Port Jervis,New York,1251.0,12771
588459,for_sale,599000.0,3.0,3.0,0.56,"804 Stirrup Ct, Lords Valley, PA, 18428",804 Stirrup Ct,Lords Valley,Pennsylvania,5956.0,18428
588460,for_sale,525000.0,3.0,1.0,66.7,"805 State Route 42, Sparrow Bush, NY, 12780",805 State Route 42,Sparrow Bush,New York,1374.0,12780
588464,for_sale,447500.0,3.0,2.0,1.09,"120 Beaver Run Rd, Milford, PA, 18337",120 Beaver Run Rd,Milford,Pennsylvania,4521.0,18337
588483,for_sale,370000.0,3.0,3.0,1.03,"121 Primrose Ln, Milford, PA, 18337",121 Primrose Ln,Milford,Pennsylvania,3024.0,18337
588493,for_sale,219000.0,3.0,1.0,0.24,"200 Avenue I, Matamoras, PA, 18336",200 Avenue I,Matamoras,Pennsylvania,1134.0,18336
588494,for_sale,318000.0,4.0,2.0,2.12,"106 Wycoff Ln, Milford, PA, 18337",106 Wycoff Ln,Milford,Pennsylvania,3476.0,18337
